CONFIG,TYPE,OWNER,NOTE,6763_64,6739,6739_64,6771,6771_64,6768,6768_64,6785,6785_64,6885,6885_64,6886,6886_64
CONFIG_MMPROFILE,COMMON,Le.Yang,ME5/ME13/ME16 defaule is y,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MMU                              ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MNTL_SUPPORT,PROJECT,isaac.lee,,X,O,X,O,X,O,X,O,X,O,X,O,X
CONFIG_MOBICORE_API,PROJECT,tryout.chen,,,,,,,,,,,,,,
CONFIG_MOBICORE_DEBUG,PROJECT,tryout.chen,,,,,,,,,,,,,,
CONFIG_MOBICORE_DRIVER,PROJECT,tryout.chen,,,,,,,,,,,,,,
CONFIG_MOBICORE_VERBOSE,COMMON,tryout.chen,,,,,,,,,,,,,,
CONFIG_MODULE_SRCVERSION_ALL,PROJECT,lucas.wei,,X,,X,,X,,X,,X,,X,,X
CONFIG_MODULE_UNLOAD,PROJECT,lucas.wei,,X,,X,,X,,X,,X,,X,,X
CONFIG_MODULE_UNLOAD                    ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MODULES,PROJECT,hw.tung,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MODULES                          ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MODVERSIONS,PROJECT,lucas.wei,,X,,X,,X,,X,,X,,X,,X
CONFIG_MODVERSIONS                      ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MOISTURE_INTERNAL_SUPPORT,PROJECT,zh.chen,,,O,,O,,O,,O,,O,,O,
CONFIG_MOUSE_PS2,COMMON,Unused,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MSDOS_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MT_TRUSTY_DEBUGFS,USER;PROJECT,rita.chan,,,O,,O,,O,,O,,O,,O,
CONFIG_MT6358_MISC,PLATFORM,wilma.wu,,X,X,X,X,X,y,y,y,y,y,y,y,y
CONFIG_MT635X_AUXADC,PLATFORM,jeter.chen,,X,X,X,X,X,y,y,y,y,y,y,y,y
CONFIG_MT6360_LDO,PLATFORM,wilma.wu,,,,,,,X,X,y,y,y,y,y,y
CONFIG_MT6360_PMIC,PLATFORM,wilma.wu,,,,,,,X,X,y,y,y,y,y,y
CONFIG_MT6360_PMU_CHARGER,PROJECT,ivan-yh.chen,,,,,,,,,,,,,,
CONFIG_MT6360_PMU_FLED,PLATFORM,wilma.wu,,,,,,,X,X,y,y,y,y,y,y
CONFIG_MT6370_PMU_BLED,PROJECT,wilma.wu,,O,,O,,O,,O,,O,,O,,O
CONFIG_MT6370_PMU_CHARGER,PROJECT,elvin.lin,,O,,O,,O,,O,,O,,O,,O
CONFIG_MT6370_PMU_CHARGER_TYPE_DETECT,PROJECT,,,O,,O,,O,,O,,O,,O,,O
CONFIG_MT6370_PMU_DSV,PROJECT,wilma.wu,,O,,O,,O,,O,,O,,O,,O
CONFIG_MT6370_PMU_FLED,PROJECT,wilma.wu,,O,,O,,O,,O,,O,,O,,O
CONFIG_MT6370_PMU_LDO,PROJECT,wilma.wu,,O,,O,,O,,O,,O,,O,,O
CONFIG_MT6771_QUERY_PCB_ID,PLATFORM,luhua.xu,,X,X,X,y,y,X,X,X,X,X,X,X,X
CONFIG_MTD,PROJECT,,,y,O,y,O,y,O,y,O,y,O,y,O,y
CONFIG_MTD_BLOCK,PROJECT,chienwei.chang,,y,O,y,O,y,O,y,O,y,O,y,O,y
CONFIG_MTD_NAND,PROJECT,Chienwei.Chang,,,,,,,,,,,,,,
CONFIG_MTD_NAND_IDS,PROJECT,Chienwei.Chang,,,,,,,,,,,,,,
CONFIG_MTD_NAND_PLATFORM,PROJECT,Chienwei.Chang,,,,,,,,,,,,,,
CONFIG_MTD_OF_PARTS,PLATFORM,Chienwei.Chang,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTD_UBI,PROJECT,linger.lee,,,,,,,,,,,,,,
CONFIG_MTD_UBI_BEB_LIMIT,PROJECT,linger.lee,,,,,,,,,,,,,,
CONFIG_MTD_UBI_GLUEBI,PROJECT,linger.lee,,,,,,,,,,,,,,
CONFIG_MTD_UBI_WL_THRESHOLD,PROJECT,linger.lee,,,,,,,,,,,,,,
CONFIG_MTK_AAL_SUPPORT,PROJECT,yiruei.wu,,,,,,,,,,,,,,
CONFIG_MTK_AB_OTA_UPDATER,PROJECT,haohsiang.hsu,,X,,X,,X,,X,,X,,X,,X
CONFIG_MTK_ACAO_SUPPORT,PROJECT,aaron.tian,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_ACCDET,COMMON,argus.lin,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_ACCELHUB,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,,,,,,,,,,,,,
CONFIG_MTK_ACTIVITYHUB,PROJECT,hongxu.zhao,new config in this commit c432a63a513fc50d10e28c1c65b6bba2903ac29c,,,,,,,,,,,,,
CONFIG_MTK_ADDITIONAL_BATTERY_TABLE,PLATFORM,wy.chuang,battery,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_AEE_AED,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_AEE_FEATURE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_AEE_IPANIC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_AEE_MRDUMP,COMMON,my.chunag,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_AKM09911,PROJECT,jy.lan,,,,,,,,,,,,,,
CONFIG_MTK_AKM09911_NEW,PROJECT,jy.lan,,,,,,,,,,,,,,
CONFIG_MTK_AKM09912,PROJECT,hongxu.zhao,new config in this commit 063ebd2dfda85d1c6ea1c0120c87fa93fc2570e8,,,,,,,,,,,,,
CONFIG_MTK_AKM09915_NEW,PROJECT,jy.lan,,,,,,,,,,,,,,
CONFIG_MTK_AKM09918,PROJECT,jy.lan,,,,,,,,,,,,,,
CONFIG_MTK_AKM09918_NEW,PLATFORM,lomen.wu,,,y,,y,,y,,y,,y,,y,
CONFIG_MTK_AKM8963_NEW,PROJECT,Lomen.Wu,,,,,,,,,,,,,,
CONFIG_MTK_ALSPSHUB,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,,,,,,,,,,,,,
CONFIG_MTK_ANDROID_DEFAULT_SETTING,COMMON,jades.shih,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_ANSWER_CALL_HUB,PROJECT,qiangming.xia,new config in this commit 187fb88cfe9b07a6e086117d157e5a75b76f244f,,,,,,,,,,,,,
CONFIG_MTK_APUSYS_EDMA_SUPPORT,PLATFORM,jb.tsai,,N,N,y,N,N,N,N,N,N,y,y,y,y
CONFIG_MTK_APUSYS_MDLA_SUPPORT,PLATFORM,mark.hung,,N,N,y,N,N,N,N,N,N,y,y,y,y
CONFIG_MTK_APUSYS_SUPPORT,PLATFORM,Oscar.liu,,N,N,y,N,N,N,N,N,N,y,y,y,y
CONFIG_MTK_APUSYS_VPU_DEBUG,PROJECT,perry.hsu,,,,,,,,,,,,,,
CONFIG_MTK_APUSYS_VPU_SUPPORT,PROJECT,perry.hsu,,,,,,,,,,,,,,
CONFIG_MTK_AUDIO_SCP_SPKPROTECT_SUPPORT,PROJECT,Shane.Chien,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_AUDIO_TUNNELING_SUPPORT,PROJECT,Hsin-Yi.Chang,new config in this commit f23b551da1530a08af42299c2c9f900d1127b72c,,,,,,,,,,,,,
CONFIG_MTK_AUDIODSP_SUPPORT,PROJECT,doug.wang,,X,X,X,X,X,X,X,X,O,X,O,X,O
CONFIG_MTK_AURISYS_PHONE_CALL_SUPPORT,PROJECT,harvey.huang,new config in this commit 84b8edd0a561f4c498e46acb2a702dd9fabf7447,,,,,,,,,,,,,
CONFIG_MTK_AUXADC,PLATFORM,qiangming.xia,,y,y,X,y,y,N,N,N,N,N,N,N,N
CONFIG_MTK_AUXADC_INTF,PLATFORM,jeter.chen,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_BAROHUB,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,,,,,,,,,,,,,
CONFIG_MTK_BIF_SUPPORT,PROJECT,elvin.lin,,,,,,,,,,,,,,
CONFIG_MTK_BMI160_I2C,PROJECT,lomen.wu,Sensor owner,y,O,X,O,X,O,X,O,X,O,X,O,X
CONFIG_MTK_BMI160_SPI,PROJECT,jy.lan,,,,,,,,,,,,,,
CONFIG_MTK_BMI160GY_I2C,PROJECT,lomen.wu,Sensor owner,y,O,X,O,X,O,X,O,X,O,X,O,X
CONFIG_MTK_BMI160GY_SPI,PROJECT,jy.lan,,,,,,,,,,,,,,
CONFIG_MTK_BMP280,PROJECT,lomen.wu,new config in this commit 4486d5ee565d38da91ef65fd3918a57aaa5263f2,,,,,,,,,,,,,
CONFIG_MTK_BMP280_NEW,PROJECT,lomen.wu,,,,,,,,,,,,,,
CONFIG_MTK_BQ25896_SUPPORT,PROJECT,elvin.lin,,,,,,,,,,,,,,
CONFIG_MTK_BQ25898_DUAL_SUPPORT,PROJECT,stanley.song,new config in this commit b6db89c2627e63144eb53dbb76f8c9aaa73950ea,,,,,,,,,,,,,
CONFIG_MTK_BTCVSD,PROJECT,kaichieh.chuang,,,,,,,,,,,,,,
CONFIG_MTK_BTIF,PROJECT,xiufeng.wu,combo with sdio,,,,,,,,,,,,,
CONFIG_MTK_BUS_TRACER,PLATFORM,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_C2K_LTE_MODE,PROJECT,yanbin.ren,,,,,,,,,,,,,,
CONFIG_MTK_C2K_SLOT2_SUPPORT,PROJECT,anny.hu,,,,,,,,,,,,,,
CONFIG_MTK_CACHE_CONTROL,PROJECT,C-J.Chen,L3cc,X,X,X,X,X,X,X,X,X,X,y,X,X
CONFIG_MTK_CACHE_FLUSH_RANGE_PARALLEL,PROJECT,shun-chih.yu,new config in this commit 08da46e2ec4ab3df1cc4f518956524038a2201da,,,,,,,,,,,,,
CONFIG_MTK_CAM_CAL,PROJECT,luke.hu,,,,,,,,,,,,,,
CONFIG_MTK_CAM_SECURITY_SUPPORT,PROJECT,yicheng.chen,,,,,,,,,,,,,,
CONFIG_MTK_CAMERA_ISP,COMMON,ryan.teng,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_CAMERA_ISP_DPE_SUPPORT,PLATFORM,Hung-Wen.Hsieh,,X,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CAMERA_ISP_FD_SUPPORT,PLATFORM,ryan.teng,,X,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CAMERA_ISP_GEPF_SUPPORT,PLATFORM,daniel.huang,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_CAMERA_ISP_MFB_SUPPORT,PLATFORM,ryan.teng,,X,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CAMERA_ISP_OWE_SUPPORT,PLATFORM,johnson-ch.chiu,,X,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CAMERA_ISP_RSC_SUPPORT,PLATFORM,johnson-ch.chiu,,X,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CAMERA_ISP_TSF_SUPPORT,PLATFORM,Hung-Wen.Hsieh,,y,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CAMERA_ISP_WPE_SUPPORT,PLATFORM,MH.hsiao,,X,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CCCI_DEVICES,COMMON,yanbin.ren,new config in this commit 9715b038cd89c33b3acb9a75a29652347cccc65c,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_CCU,PROJECT,kuanfu.yeh,,O,N,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CHARGER,COMMON,ivan-yh.chen,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CHARGER_UNLIMITED,PROJECT,ivan-yh.chen,,,,,,,,,,,,,,
CONFIG_MTK_CHIP,COMMON,Nora.Chang,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CLKMGR,PLATFORM,,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_CM_MGR,PLATFORM,morven-cf.yeh,,y,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CM36558,PROJECT,hongxu.zhao,new config in this commit 063ebd2dfda85d1c6ea1c0120c87fa93fc2570e8,,,,,,,,,,,,,
CONFIG_MTK_CM36652_NEW,PLATFORM,jy.lan,,,,,,,,,,,,,,
CONFIG_MTK_CM36686_NEW,PLATFORM,jy.lan,,,,,,,,,,,,,,
CONFIG_MTK_CMDQ,COMMON,dennis-yc.hsieh,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CMDQ_MBOX,COMMON,dennis-yc.hsieh,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CMDQ_MBOX_EXT,PLATFORM,dennis-yc.hsieh,,X,X,X,X,X,X,X,X,X,y,y,y,y
CONFIG_MTK_COMBO,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_COMBO_ANT,PROJECT,zhiguo.niu,new config in this commit 3413d51500ed33e5696cbfe6286d5b8617867b35,,,,,,,,,,,,,
CONFIG_MTK_COMBO_BT,PLATFORM,yu-min.lin,going to phase out,y,y,X,y,y,X,X,X,X,y,y,X,X
CONFIG_MTK_COMBO_CHIP_CONSYS_6739,PLATFORM,robbin.chiu,,X,y,y,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_COMBO_CHIP_CONSYS_6763,PLATFORM,robbin.chiu,,y,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_COMBO_CHIP_CONSYS_6768,PLATFORM,tim.chang,,X,X,X,X,X,y,y,X,X,X,X,X,X
CONFIG_MTK_COMBO_CHIP_CONSYS_6771,PLATFORM,xiufeng.wu,,X,X,X,y,y,X,X,X,X,X,X,X,X
CONFIG_MTK_COMBO_CHIP_CONSYS_6785,PLATFORM,tim.chang,,X,X,X,X,X,X,X,y,y,X,X,X,X
CONFIG_MTK_COMBO_CHIP_CONSYS_6885,PLATFORM,tim.chang,,X,X,X,X,X,X,X,X,X,y,y,X,X
CONFIG_MTK_COMBO_CHIP_CONSYS_6873,PLATFORM,tim.chang,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_COMBO_COMM,PROJECT,Heiping.Lei,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_COMBO_COMM_SDIO,PROJECT,,,,,,,,,,,,,,,
CONFIG_MTK_COMBO_GPS,PROJECT,chaoran.zhang,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_COMBO_NAND_SUPPORT,PROJECT,chienwei.chang,,,,,,,,,,,,,,
CONFIG_MTK_COMBO_WIFI,COMMON,sarah-cp.yang,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CONN_LTE_IDC_SUPPORT,PLATFORM,Alonso.Hsu,new config in this commit 3413d51500ed33e5696cbfe6286d5b8617867b35,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_CONNSYS_DEDICATED_LOG_PATH,PLATFORM,willy.yu,,X,X,y,X,X,y,y,y,y,y,y,y,y
CONFIG_MTK_CONSUMER_PARTIAL_UPDATE_SUPPORT,PROJECT,weiguo.li,new config in this commit 13be5de93e0cafaa0c3fc5f5dc16aa86e0422208,,,,,,,,,,,,,
CONFIG_MTK_CPU_CTRL_CFP,PROJECT,poting.chen,,,,,,,,,,,,,,
CONFIG_MTK_CPU_FREQ,PLATFORM,hector.yuan,,X,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CPU_TOPOLOGY,PLATFORM,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_CQDMA,PLATFORM,,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_DCS,PROJECT,miles.chen,,,,,,,,,,,,,,
CONFIG_MTK_DEBUG_LATCH,PLATFORM,mars.cheng,after dump in LK should be x,y,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_DEBUG_TRACER,PLATFORM,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_DEVAPC_DRIVER,COMMON,neal.liu,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_DEVICE_ORIENTATION_HUB,PROJECT,jy.lan,,,,,,,,,,,,,,
CONFIG_MTK_DFD_INTERNAL_DUMP,PLATFORM,shun-chih.yu,new config in this commit 7eafd5acba56cd7ac2de590f4b4b303822a08d00,y,X,y,X,y,X,y,X,y,X,y,X,y
CONFIG_MTK_DHCPV6C_WIFI,PROJECT,Zhuoliang.Zhang,,,,,,,,,,,,,,
CONFIG_MTK_DISABLE_GAUGE,PROJECT,Pengshun.Zhao,,,,,,,,,,,,,,
CONFIG_MTK_DISABLE_POWER_ON_OFF_VOLTAGE_LIMITATION,PROJECT,menghui.lin,new config in this commit 6321904276499042c6c5d05746941980acaf5b2e,,,,,,,,,,,,,
CONFIG_MTK_DISPLAY_120HZ_SUPPORT,PROJECT,otis.huang,new config in this commit a9f470e71a32907be7675e8887db0add7a2a5e81,,,,,,,,,,,,,
CONFIG_MTK_DM_VERITY_OFF,PROJECT,denis.hsu,set Y for A-GO,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_MTK_DO,PROJECT,chsuan.lin,,,,,,,,,,,,,,
CONFIG_MTK_DRAM_LOG_STORE,PROJECT,chunlei.wang,new config in this commit d4130eb073596c7b8ac8dc3b07835162b0fe6336,,,,,,,,,,,,,
CONFIG_MTK_DRAM_LOG_STORE_ADDR,PROJECT,chunlei.wang,new config in this commit d4130eb073596c7b8ac8dc3b07835162b0fe6336,,,,,,,,,,,,,
CONFIG_MTK_DRAM_LOG_STORE_SIZE,PROJECT,chunlei.wang,new config in this commit d4130eb073596c7b8ac8dc3b07835162b0fe6336,,,,,,,,,,,,,
CONFIG_MTK_DRAMC,PLATFORM,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_DRAMC_PASR,PROJECT,chinwen.chang,new config in this commit 00e9766765130fe855b98b102a740f17d8b1119e,,,,,,,,,,,,,
CONFIG_MTK_DRE30_SUPPORT,PROJECT,,,,,,,,,,,,,,,
CONFIG_MTK_DRM_KEY_MNG_SUPPORT,PROJECT,wenjie.li,new config in this commit 041d27496b85b20ac1ce6c559ba9ae2de15a1a86,,,,,,,,,,,,,
CONFIG_MTK_DRS,PROJECT,Miles.Chen,,y,,y,,y,,y,,y,,y,,y
CONFIG_MTK_DTBO_FEATURE,PROJECT,chia-hao.hsu,,X,,X,,X,,X,,X,,X,,X
CONFIG_MTK_DUAL_CHARGER_SUPPORT,PROJECT,elvin.lin,,,,,,,,,,,,,,
CONFIG_MTK_DUM_CHAR,PROJECT,chienwei.chang,,,,,,,,,,,,,,
CONFIG_MTK_DYNAMIC_FPS_FRAMEWORK_SUPPORT,PLATFORM,jih-cheng.chiu,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_MTK_DYNAMIC_FPS_SUPPORT,PROJECT,jih-cheng.chiu,,,,,,,,,,,,,,
CONFIG_MTK_EARA_AI,PROJECT,poting.chen,,,,,,,,,,,,,,
CONFIG_MTK_EARA_THERMAL,PROJECT,chiayu.ku,,,,,,,,,,,,,,
CONFIG_MTK_ECCCI_C2K,PROJECT,wenbo.ning,new config in this commit 53dd74ddebad6dd1d6c646f4f907945bfeb86f73,,,,,,,,,,,,,
CONFIG_MTK_ECCCI_DRIVER,PLATFORM,chao.song,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_EFUSE_DOWNGRADE,PROJECT,wn.chen,,,,,,,,,,,,,,
CONFIG_MTK_EMBEDDED_BATTERY,PROJECT,weiching.lin,new config in this commit e4b85fb10d2ead2095830071962940c5e3554c91,,,,,,,,,,,,,
CONFIG_MTK_EMI,PLATFORM,Sagy.Shih,,y,X,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_EMI_BWL,PLATFORM,Sagy.Shih,,N,X,N,N,N,N,N,N,N,N,N,N,N
CONFIG_MTK_EMI_D1P,PROJECT,Sagy.Shih,,,,,,,,,,,,,,
CONFIG_MTK_EMI_D2P,PROJECT,Sagy.Shih,,,,,,,,,,,,,,
CONFIG_MTK_EMI_MBW,PLATFORM,sagy.shih,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_MTK_EMI_MPU,PLATFORM,Sagy.Shih,,N,X,N,N,N,N,N,N,N,N,N,N,N
CONFIG_MTK_EMI_MPU_CONNSYS_FEATURE,PROJECT,mars.cheng,,X,,X,,X,,X,,X,,X,,X
CONFIG_MTK_EMMC_CACHE,PROJECT,weiping.zhang,,,,,,,,,,,,,,
CONFIG_MTK_EMMC_CQ_SUPPORT,PROJECT,sophie.wang,new config in this commit ce3bff22fb846f2fad0552280d4bd580a95d28a6,,,,,,,,,,,,,
CONFIG_MTK_EMMC_HW_CQ,PROJECT,huan.tang,,X,X,Y,X,X,Y,Y,Y,Y,Y,Y,Y,Y
CONFIG_MTK_EMMC_SUPPORT,PROJECT,weiping.zhang,,,,,,,,,,,,,,
CONFIG_MTK_EMMC_SUPPORT_OTP,PROJECT,weiping.zhang,,,,,,,,,,,,,,
CONFIG_MTK_ENABLE_GENIEZONE,PROJECT,coboy.chen,,,,,,,,,,,,,,
CONFIG_MTK_ENABLE_MD2,COMMON,yanbin.ren,new config in this commit 9715b038cd89c33b3acb9a75a29652347cccc65c,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_ENG_BUILD,USER,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_MTK_EXTBUCK,PROJECT,vend_jeff_chang001,,,,,,,,,,,,,,
CONFIG_MTK_EXTERNAL_CHARGER_TYPE_DETECT,PROJECT,marvin.lin,,,,,,,,,,,,,,
CONFIG_MTK_FAT_ON_NAND,PROJECT,chienwei.chang,,,,,,,,,,,,,,
CONFIG_MTK_FB,PROJECT,,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_FD_BAD_DEBUG,PROJECT,yuxian.xu,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_MTK_FD_LEAK_DETECT,USER;PROJECT,yuxian.xu,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_MTK_FD_LEAK_SPECIFIC_DEBUG,PROJECT,yuxian.xu,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_MTK_FINGERPRINT_SELECT,PROJECT,luhua.xu,new config in this commit ff5fd1753a830032f4c8a5d075c4b2de17e563bc,,,,,,,,,,,,,
CONFIG_MTK_FINGERPRINT_SUPPORT,PROJECT,luhua.xu,new config in this commit ff5fd1753a830032f4c8a5d075c4b2de17e563bc,,,,,,,,,,,,,
CONFIG_MTK_FIQ_CACHE,PLATFORM,mars.cheng,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_FLASHLIGHT,COMMON,simon-tch.wang,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_FLASHLIGHT_DLPT,COMMON,simon-tch.wang,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_FLASHLIGHT_LM3643,PROJECT,simon-tch.wang,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_FLASHLIGHT_MT6336,PROJECT,simon-tch.wang,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_FLASHLIGHT_MT6360,PROJECT,roger-hy.wang,,X,X,X,X,X,X,X,X,y,X,y,X,y
CONFIG_MTK_FLASHLIGHT_MT6370,PROJECT,simon-tch.wang,,y,X,y,X,y,X,y,X,y,X,y,X,y
CONFIG_MTK_FLASHLIGHT_PT,COMMON,simon-tch.wang,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_FLASHLIGHT_PT_STRICT,COMMON,simon-tch.wang,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_FLASHLIGHT_RT4505,PROJECT,simon-tch.wang,,X,y,X,y,X,y,X,y,X,y,X,y,X
CONFIG_MTK_FLASHLIGHT_RT5081,PROJECT,simon-tch.wang,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_FLAT_HUB,PROJECT,ruixue.su,flat sensor,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_MTK_FM,PROJECT,xueqin.wang,,,,,,,,,,,,,,
CONFIG_MTK_FM_50KHZ_SUPPORT,PROJECT,xueqin.wang,,,,,,,,,,,,,,
CONFIG_MTK_FM_CHIP,PROJECT,xueqin.wang,,,,,,,,,,,,,,
CONFIG_MTK_FM_SUPPORT,PROJECT,xueqin.wang,,,,,,,,,,,,,,
CONFIG_MTK_FMRADIO,PROJECT,xueqin.wang,,,,,,,,,,,,,,
CONFIG_MTK_FPSGO_V3,PROJECT,poting.chen,,,,,,,,,,,,,,
CONFIG_MTK_FREQ_HOPPING,PROJECT,konrad.wei,,,,,,,,,,,,,,
CONFIG_MTK_FTRACE_DEFAULT_ENABLE,USER;PROJECT,neil.yang,,,,,,,,,,,,,,
CONFIG_MTK_GAMEROTVECHUB,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,,,,,,,,,,,,,
CONFIG_MTK_GAUGE_VERSION,PROJECT,weiching.lin,,,,,,,,,,,,,,
CONFIG_MTK_GBE,PROJECT,poting.chen,,,,,,,,,,,,,,
CONFIG_MTK_GLGHUB,PROJECT,weiqi.fu,,,,,,,,,,,,,,
CONFIG_MTK_GMAGROTVECHUB,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,,,,,,,,,,,,,
CONFIG_MTK_GMO_RAM_OPTIMIZE,PROJECT,jack.hsieh,,,,,,,,,,,,,,
CONFIG_MTK_GPIO,PLATFORM,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_MTK_GPIOLIB_STAND,PLATFORM,Light.Hsieh,,y,y,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_GPS_EMI,PROJECT,Heiping.Lei,new config in this commit 89e353c38891333cad5c752eedcd129440a5664b,,,,,,,,,,,,,
CONFIG_MTK_GPS_REGISTER_SETTING,PROJECT,Heiping.Lei,new config in this commit bfc2f2ac84b4e959639353664279a181d4b095d8,,,,,,,,,,,,,
CONFIG_MTK_GPS_SUPPORT,PROJECT,Heiping.Lei,,,,,,,,,,,,,,
CONFIG_MTK_GPT_SCHEME_SUPPORT,PROJECT,jimin.wang,,,,,,,,,,,,,,
CONFIG_MTK_GPU_COMMON_DVFS_SUPPORT,PLATFORM,Yu-fu.Kao,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_GPU_SPM_DVFS_SUPPORT,COMMON,yu-fu.kao,new config in this commit 25c58375709ade9927b8c1efdd93b182c51a2d88,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_GPU_SUPPORT,PROJECT,victor.hsu,,,,,,,,,,,,,,
CONFIG_MTK_GPU_SWPM_SUPPORT,PLATFORM,Bocheng.Chen,,N,N,y,N,N,N,N,y,y,y,y,y,y
